ÈÕÆÚ,Ê±¼ä,ºÏÔ¼´úÂë,Âò/Âô,¿ª/Æ½,³É½»Á¿,³É½»¼Û,ÊÖÐø·Ñ
2024-10-25,14:50:00,510300.SS,Âô,-,2800.000,4.035,9.038
2024-10-25,14:50:00,588000.SS,Âò,-,6700.000,1.042,5.585
2024-10-28,14:50:00,588000.SS,Âô,-,6700.000,1.037,5.558
2024-10-28,14:50:00,159819.SZ,Âò,-,10100.000,0.878,7.094
2024-10-31,14:50:00,159819.SZ,Âô,-,10100.000,0.879,7.102
2024-10-31,14:50:00,512660.SS,Âò,-,8900.000,1.083,7.711
2024-11-04,14:50:00,512660.SS,Âô,-,8900.000,1.076,7.661
2024-11-04,14:50:00,159819.SZ,Âò,-,10000.000,0.864,6.912
2024-11-05,14:50:00,512480.SS,Âô,-,1300.000,1.004,5.000
2024-11-07,14:50:00,159819.SZ,Âô,-,10000.000,0.927,7.416
2024-11-07,14:50:00,512880.SS,Âô,-,900.000,1.366,5.000
2024-11-07,14:50:00,512660.SS,Âò,-,8600.000,1.151,7.919
2024-11-08,14:50:00,512660.SS,Âô,-,8600.000,1.183,8.139
2024-11-08,14:50:00,159819.SZ,Âò,-,9900.000,0.930,7.366
2024-11-11,14:50:00,512800.SS,Âô,-,8700.000,1.385,9.640
2024-11-11,14:50:00,512660.SS,Âò,-,9300.000,1.215,9.040
2024-11-15,14:50:00,518880.SS,Âô,-,2200.000,5.684,10.004
2024-11-15,14:50:00,512800.SS,Âò,-,9200.000,1.385,10.194
2024-11-15,14:50:00,512880.SS,Âò,-,1000.000,1.217,5.000
2024-11-18,14:50:00,512660.SS,Âô,-,9300.000,1.058,7.872
2024-11-18,14:50:00,518880.SS,Âò,-,2200.000,5.756,10.131
2024-11-19,14:50:00,159819.SZ,Âô,-,9900.000,0.897,7.104
2024-11-19,14:50:00,588000.SS,Âò,-,9000.000,1.048,7.546
2024-11-20,14:50:00,588000.SS,Âô,-,9000.000,1.055,7.596
2024-11-20,14:50:00,159819.SZ,Âò,-,9700.000,0.912,7.077
2024-11-21,14:50:00,512800.SS,Âô,-,9200.000,1.395,10.267
2024-11-21,14:50:00,588000.SS,Âò,-,10100.000,1.065,8.605
2024-11-22,14:50:00,512480.SS,Âò,-,1200.000,0.982,5.000
2024-12-06,14:50:00,512880.SS,Âò,-,800.000,1.245,5.000
2024-12-09,14:50:00,588000.SS,Âô,-,10100.000,1.054,8.516
2024-12-09,14:50:00,512980.SS,Âò,-,10100.000,0.874,7.062
2024-12-10,14:50:00,159819.SZ,Âô,-,9700.000,0.917,7.116
2024-12-10,14:50:00,512800.SS,Âò,-,8700.000,1.443,10.043
2024-12-12,14:50:00,512800.SS,Âô,-,8700.000,1.445,10.057
2024-12-12,14:50:00,563300.SS,Âò,-,9700.000,1.152,8.940
2024-12-17,14:50:00,512980.SS,Âô,-,10100.000,0.829,6.698
2024-12-17,14:50:00,512480.SS,Âô,-,1300.000,0.969,5.000
2024-12-17,14:50:00,512880.SS,Âô,-,1400.000,1.200,5.000
2024-12-17,14:50:00,512800.SS,Âò,-,8800.000,1.426,10.039
2024-12-18,14:50:00,563300.SS,Âô,-,9700.000,1.081,8.389
2024-12-18,14:50:00,159819.SZ,Âò,-,9300.000,0.916,6.815
2024-12-20,14:50:00,512800.SS,Âô,-,8800.000,1.428,10.053
2024-12-20,14:50:00,512880.SS,Âò,-,1200.000,1.204,5.000
2024-12-20,14:50:00,588000.SS,Âò,-,9400.000,1.065,8.009
2024-12-23,14:50:00,588000.SS,Âô,-,9400.000,1.052,7.911
2024-12-23,14:50:00,563300.SS,Âò,-,9400.000,1.048,7.881
2024-12-24,14:50:00,563300.SS,Âô,-,9400.000,1.058,7.956
2024-12-24,14:50:00,588000.SS,Âò,-,9300.000,1.070,7.961
2024-12-31,14:50:00,512880.SS,Âò,-,1000.000,1.176,5.000
2025-01-02,14:50:00,159819.SZ,Âô,-,9300.000,0.866,6.443
2025-01-02,14:50:00,512800.SS,Âò,-,7300.000,1.447,8.450
2025-01-06,14:50:00,512880.SS,Âô,-,1100.000,1.077,5.000
2025-01-06,14:50:00,512800.SS,Âò,-,800.000,1.454,5.000
2025-01-09,14:50:00,512480.SS,Âô,-,1200.000,0.982,5.000
2025-01-17,14:50:00,512880.SS,Âò,-,900.000,1.093,5.000
2025-01-22,14:50:00,512800.SS,Âô,-,8100.000,1.444,9.357
2025-01-22,14:50:00,512880.SS,Âò,-,900.000,1.097,5.000
2025-01-22,14:50:00,562500.SS,Âò,-,10600.000,0.821,6.962
2025-01-23,14:50:00,512880.SS,Âô,-,9700.000,1.101,8.544
2025-01-23,14:50:00,159819.SZ,Âò,-,10200.000,0.905,7.385
2025-01-23,14:50:00,512480.SS,Âò,-,1400.000,1.010,5.000
2025-01-23,14:50:00,588000.SS,Âò,-,1200.000,1.022,5.000
2025-01-24,14:50:00,159819.SZ,Âô,-,10200.000,0.921,7.515
2025-01-24,14:50:00,588000.SS,Âô,-,1200.000,1.028,5.000
2025-01-24,14:50:00,512800.SS,Âò,-,7800.000,1.484,9.260
2025-01-27,14:50:00,512800.SS,Âô,-,7800.000,1.504,9.385
2025-01-27,14:50:00,159819.SZ,Âò,-,10300.000,0.902,7.432
2025-01-27,14:50:00,588000.SS,Âò,-,1200.000,1.011,5.000
2025-02-05,14:50:00,562500.SS,Âô,-,10600.000,0.851,7.216
2025-02-05,14:50:00,159819.SZ,Âô,-,1400.000,0.929,5.000
2025-02-05,14:50:00,518880.SS,Âô,-,200.000,6.434,5.000
2025-02-05,14:50:00,588000.SS,Âô,-,1200.000,1.037,5.000
2025-02-05,14:50:00,512800.SS,Âò,-,8500.000,1.478,10.050
2025-02-06,14:50:00,512800.SS,Âô,-,8500.000,1.480,10.064
2025-02-06,14:50:00,159819.SZ,Âò,-,1000.000,0.954,5.000
2025-02-06,14:50:00,562500.SS,Âò,-,9900.000,0.899,7.120
2025-02-06,14:50:00,588000.SS,Âò,-,1100.000,1.066,5.000
2025-02-25,14:50:00,562500.SS,Âô,-,1300.000,1.009,5.000
2025-03-17,14:50:00,562500.SS,Âô,-,8600.000,0.972,6.687
2025-03-17,14:50:00,159819.SZ,Âô,-,1800.000,1.028,5.000
2025-03-17,14:50:00,588000.SS,Âô,-,1700.000,1.140,5.000
2025-03-17,14:50:00,512100.SS,Âò,-,4900.000,2.635,10.329
2025-03-18,14:50:00,159819.SZ,Âô,-,8100.000,1.040,6.739
2025-03-18,14:50:00,512100.SS,Âô,-,500.000,2.644,5.000
2025-03-18,14:50:00,512480.SS,Âô,-,2100.000,1.119,5.000
2025-03-18,14:50:00,588000.SS,Âô,-,1600.000,1.147,5.000
2025-03-18,14:50:00,512800.SS,Âò,-,8600.000,1.525,10.492
2025-03-19,14:50:00,512100.SS,Âô,-,4400.000,2.625,9.240
2025-03-19,14:50:00,512480.SS,Âò,-,1700.000,1.102,5.000
2025-03-19,14:50:00,562500.SS,Âò,-,7500.000,0.980,5.880
2025-03-19,14:50:00,588000.SS,Âò,-,1900.000,1.131,5.000
2025-03-20,14:50:00,562500.SS,Âô,-,7500.000,0.973,5.838
2025-03-20,14:50:00,512480.SS,Âô,-,1600.000,1.094,5.000
2025-03-20,14:50:00,588000.SS,Âô,-,1900.000,1.119,5.000
2025-03-20,14:50:00,512100.SS,Âò,-,4400.000,2.613,9.198
2025-03-21,14:50:00,512100.SS,Âô,-,4400.000,2.566,9.032
2025-03-21,14:50:00,563300.SS,Âò,-,9300.000,1.136,8.452
2025-03-25,14:50:00,563300.SS,Âô,-,9300.000,1.103,8.206
2025-03-25,14:50:00,512480.SS,Âò,-,1900.000,1.049,5.000
2025-03-25,14:50:00,562500.SS,Âò,-,7900.000,0.918,5.802
2025-03-25,14:50:00,588000.SS,Âò,-,2200.000,1.082,5.000
2025-03-26,14:50:00,562500.SS,Âô,-,7900.000,0.927,5.859
2025-03-26,14:50:00,512480.SS,Âô,-,2400.000,1.052,5.000
2025-03-26,14:50:00,588000.SS,Âô,-,2800.000,1.080,5.000
2025-03-26,14:50:00,510300.SS,Âò,-,3200.000,4.016,10.281
2025-03-27,14:50:00,510300.SS,Âô,-,3200.000,4.025,10.304
2025-03-27,14:50:00,512480.SS,Âò,-,1300.000,1.062,5.000
2025-03-27,14:50:00,563300.SS,Âò,-,8500.000,1.110,7.548
2025-03-27,14:50:00,588000.SS,Âò,-,1600.000,1.091,5.000
2025-04-01,14:50:00,563300.SS,Âô,-,8500.000,1.092,7.426
2025-04-01,14:50:00,512480.SS,Âò,-,1100.000,1.050,5.000
2025-04-01,14:50:00,562500.SS,Âò,-,8100.000,0.893,5.787
2025-04-01,14:50:00,588000.SS,Âò,-,1300.000,1.076,5.000
2025-04-02,14:50:00,562500.SS,Âô,-,8100.000,0.903,5.851
2025-04-02,14:50:00,563300.SS,Âò,-,8000.000,1.095,7.008
2025-04-03,14:50:00,563300.SS,Âô,-,7900.000,1.084,6.851
2025-04-03,14:50:00,562500.SS,Âò,-,7900.000,0.883,5.581
2025-04-07,14:50:00,563300.SS,Âô,-,100.000,0.974,5.000
2025-04-07,14:50:00,512480.SS,Âò,-,1000.000,0.937,5.000
2025-04-08,14:50:00,588000.SS,Âô,-,9400.000,0.982,7.385
2025-04-08,14:50:00,562500.SS,Âò,-,1400.000,0.751,5.000
2025-04-08,14:50:00,563300.SS,Âò,-,9600.000,0.944,7.250
2025-04-09,14:50:00,563300.SS,Âô,-,9600.000,0.973,7.473
2025-04-09,14:50:00,588000.SS,Âò,-,9500.000,1.023,7.775
2025-04-10,14:50:00,518880.SS,Âô,-,200.000,7.153,5.000
2025-04-15,14:50:00,562500.SS,Âô,-,9300.000,0.809,6.019
2025-04-15,14:50:00,159819.SZ,Âò,-,9500.000,0.881,6.696
2025-04-16,14:50:00,159819.SZ,Âô,-,9500.000,0.873,6.635
2025-04-16,14:50:00,563300.SS,Âò,-,8100.000,1.011,6.551
2025-04-17,14:50:00,563300.SS,Âô,-,8100.000,1.022,6.623
2025-04-17,14:50:00,562500.SS,Âò,-,8900.000,0.798,5.682
2025-04-22,14:50:00,562500.SS,Âô,-,8900.000,0.811,5.774
2025-04-22,14:50:00,512480.SS,Âô,-,1200.000,1.053,5.000
2025-04-22,14:50:00,159819.SZ,Âò,-,9700.000,0.887,6.883
2025-04-23,14:50:00,159819.SZ,Âô,-,9700.000,0.896,6.953
2025-04-23,14:50:00,562500.SS,Âò,-,8700.000,0.837,5.826
2025-04-28,14:50:00,562500.SS,Âô,-,8700.000,0.820,5.707
2025-04-28,14:50:00,563300.SS,Âò,-,8000.000,1.028,6.579
2025-04-29,14:50:00,563300.SS,Âô,-,8000.000,1.037,6.637
2025-04-29,14:50:00,562500.SS,Âò,-,8800.000,0.831,5.850
2025-05-09,14:50:00,518880.SS,Âô,-,200.000,7.520,5.000
2025-05-09,14:50:00,588000.SS,Âò,-,1500.000,1.057,5.000
2025-05-13,14:50:00,518880.SS,Âô,-,200.000,7.337,5.000
2025-05-13,14:50:00,512480.SS,Âò,-,1000.000,1.043,5.000
2025-05-15,14:50:00,588000.SS,Âò,-,1000.000,1.050,5.000
2025-05-16,14:50:00,518880.SS,Âô,-,200.000,7.176,5.000
2025-05-19,14:50:00,512480.SS,Âò,-,1200.000,1.028,5.000
2025-05-20,14:50:00,562500.SS,Âô,-,8800.000,0.870,6.125
2025-05-20,14:50:00,512800.SS,Âô,-,900.000,1.600,5.000
2025-05-20,14:50:00,563300.SS,Âò,-,8500.000,1.110,7.548
2025-05-22,14:50:00,518880.SS,Âô,-,100.000,7.459,5.000
2025-05-23,14:50:00,563300.SS,Âô,-,8500.000,1.080,7.344
2025-05-23,14:50:00,562500.SS,Âò,-,9000.000,0.847,6.098
2025-05-27,14:50:00,588000.SS,Âô,-,12000.000,1.026,9.850
2025-05-27,14:50:00,518880.SS,Âò,-,300.000,7.371,5.000
2025-05-27,14:50:00,563300.SS,Âò,-,9100.000,1.092,7.950
2025-05-28,14:50:00,562500.SS,Âô,-,9000.000,0.835,6.012
2025-05-28,14:50:00,588000.SS,Âò,-,12200.000,1.024,9.994
2025-05-29,14:50:00,588000.SS,Âô,-,12200.000,1.040,10.150
2025-05-29,14:50:00,518880.SS,Âò,-,100.000,7.299,5.000
2025-05-29,14:50:00,562500.SS,Âò,-,9400.000,0.846,6.362
2025-06-05,14:50:00,562500.SS,Âô,-,9400.000,0.845,6.354
2025-06-05,14:50:00,512800.SS,Âô,-,800.000,1.632,5.000
2025-06-05,14:50:00,588000.SS,Âò,-,12000.000,1.051,10.090
2025-06-11,14:50:00,588000.SS,Âô,-,12000.000,1.032,9.907
2025-06-11,14:50:00,159819.SZ,Âò,-,10300.000,0.924,7.614
2025-06-13,14:50:00,159819.SZ,Âô,-,10300.000,0.911,7.507
2025-06-13,14:50:00,512010.SS,Âò,-,26000.000,0.377,7.842
2025-06-16,14:50:00,512010.SS,Âô,-,26000.000,0.375,7.800
2025-06-16,14:50:00,512660.SS,Âò,-,9400.000,1.054,7.926
2025-06-16,14:50:00,518880.SS,Âò,-,100.000,7.560,5.000
2025-06-17,14:50:00,512660.SS,Âô,-,9400.000,1.055,7.934
2025-06-17,14:50:00,512980.SS,Âò,-,9200.000,0.834,6.138
2025-06-17,14:50:00,518880.SS,Âò,-,100.000,7.497,5.000
2025-06-18,14:50:00,512980.SS,Âô,-,7600.000,0.828,5.034
2025-06-18,14:50:00,512400.SS,Âò,-,8900.000,1.108,7.889
2025-06-19,14:50:00,512980.SS,Âô,-,1600.000,0.821,5.000
2025-06-19,14:50:00,512400.SS,Âô,-,8900.000,1.090,7.761
2025-06-19,14:50:00,512660.SS,Âò,-,9300.000,1.046,7.782
2025-06-20,14:50:00,512660.SS,Âô,-,9300.000,1.034,7.693
2025-06-20,14:50:00,512400.SS,Âò,-,8600.000,1.085,7.465
2025-06-24,14:50:00,512400.SS,Âô,-,3700.000,1.101,5.000
2025-06-24,14:50:00,512660.SS,Âò,-,5900.000,1.057,5.000
2025-06-25,14:50:00,512480.SS,Âô,-,10200.000,1.041,8.495
2025-06-25,14:50:00,512400.SS,Âô,-,4900.000,1.110,5.000
2025-06-25,14:50:00,512660.SS,Âô,-,5900.000,1.091,5.150
2025-06-25,14:50:00,512800.SS,Âô,-,1100.000,1.744,5.000
2025-06-25,14:50:00,563300.SS,Âô,-,2100.000,1.138,5.000
2025-06-25,14:50:00,510300.SS,Âò,-,3300.000,3.995,10.547
2025-06-25,14:50:00,512100.SS,Âò,-,3900.000,2.528,7.887
2025-06-27,14:50:00,512100.SS,Âô,-,3900.000,2.529,7.890
2025-06-27,14:50:00,512660.SS,Âò,-,7100.000,1.099,6.242
2025-06-30,14:50:00,510300.SS,Âô,-,3300.000,3.983,10.515
2025-06-30,14:50:00,512100.SS,Âò,-,4500.000,2.561,9.220
2025-06-30,14:50:00,563300.SS,Âò,-,1100.000,1.156,5.000
2025-07-03,14:50:00,512660.SS,Âô,-,7100.000,1.122,6.373
